vendor,total_paid,share_of_total,concentration_flag
Sparkrock Edsembli Inc ,435805,2.11E-06,none
Tracker Networks Inc,435773,2.11E-06,none
Dhr Limited Partnership,435590,2.10E-06,none
Forza Corp,435387,2.10E-06,none
Kenora-Rainy River,435075,2.10E-06,none
Asiniikaa Mining And Construction Ltd.,435004,2.10E-06,none
Allevia Health Inc,434632,2.10E-06,none
Centre For Spanish Speaking Peoples,434463,2.10E-06,none
Kitchener Centre,434200,2.10E-06,none
Nawc2000 Inc O/A Ccfa,433696,2.09E-06,none
Pathways Employment Help Centre,433569,2.09E-06,none
Victim Services Of Waterloo Region,433313,2.09E-06,none
Hunt Medicine Professional Corporation,432820,2.09E-06,none
Ontario Home Care Association,432758,2.09E-06,none
Htb Transcripts Ontario Ltd.,432505,2.09E-06,none
Justicetrax Inc,432215,2.09E-06,none
Dr. Jonathan Gray Medicine Professional Corp.,432070,2.09E-06,none
Catholic Family Services Of Simcoe County,431580,2.08E-06,none
Shelley Spence,431368,2.08E-06,none
"Ontario Corporation # 1992772, Essential Home Care Products Inc.",431082,2.08E-06,none
Burlington Hydro Inc,430677,2.08E-06,none
Project 25-44 (Sudbury) Vocational Resource Centre Inc (O/A Spark Employment Services),430656,2.08E-06,none
Bonnie Ellen Smith,430376,2.08E-06,none
Tourism London,430000,2.08E-06,none
"Thousand Islands Hearing Centre Inc., Ontario Corporation No. 002502112",430000,2.08E-06,none
Toronto-Danforth,429940,2.08E-06,none
Local Services Board Of Foleyet,429719,2.08E-06,none
Stockwoods Llp,429417,2.07E-06,none
Cerps Training Inc,429094,2.07E-06,none
Lakehead Region Conservation Authority,428790,2.07E-06,none
Arab Community Centre Of Toronto,427192,2.06E-06,none
"Ontario Corporation # 1639072, Advacare Inc.",427010,2.06E-06,none
Victim Services Of Simcoe County,426561,2.06E-06,none
Folk Arts Council Of St Catharines,426557,2.06E-06,none
"Ontario Corporation # 1968919, Kingston Health Sciences Centre",426420,2.06E-06,none
Perth-Wellington,426280,2.06E-06,none
3719570 Canada Inc,425183,2.05E-06,none
"Ontario Corporation # 1947730, Canada Hearing Centre Ltd.",425000,2.05E-06,none
2742643 Ontario Inc,424588,2.05E-06,none
Associated Engineering (Ont) Ltd,424146,2.05E-06,none
Hamilton Mountain,423889,2.05E-06,none
Hospice Palliative Care Ontario,423492,2.05E-06,none
Loblaws Inc.,423440,2.05E-06,none
Brinks Canada Ltd.,423410,2.05E-06,none
Badiuk Equipment Ltd.,423342,2.04E-06,none
Brampton West,423210,2.04E-06,none
Prosthetic Ability Inc.,423193,2.04E-06,none
White Lake Lp,423140,2.04E-06,none
Cif Lab Solutions Lp,422892,2.04E-06,none
Weber Supply Company Inc,422583,2.04E-06,none
Little Rays Nature Centre,422434,2.04E-06,none
Markham-Thornhill,421133,2.03E-06,none
Lesperance Removals & Service Inc,421108,2.03E-06,none
"Ontario Corporation # 1921801, Harold K. Arnold Hearing Aids Limited",421000,2.03E-06,none
Autism In Mind Children'S Charity,420706,2.03E-06,none
"Ontario Wheelchair, Access And Mobility Equipment Inc.",420450,2.03E-06,none
Intercontinental Toronto Centre,420362,2.03E-06,none
Lenscrafters Canada Inc,420336,2.03E-06,none
Orillia And District Chamber Of Commerce,419873,2.03E-06,none
Teamrecruiter Com Inc,419509,2.03E-06,none
African Community Services Of Peel,419230,2.03E-06,none
Veridos,419117,2.02E-06,none
Francotyp-Postalia Canada Inc,419024,2.02E-06,none
The Corporation Of The Township Of Harley,418753,2.02E-06,none
The Ergo Group Inc,418222,2.02E-06,none
Renfrew County Sexual Assault/ Rape Crisis Support Centre,417670,2.02E-06,none
Older Adult Centres Association Of Ontario (Oacao),417647,2.02E-06,none
Elizabeth Fry Society Of Simcoe County,416800,2.01E-06,none
Beacon Construction (Ontario) Ltd,416466,2.01E-06,none
Laberimi Enterprises Inc,416012,2.01E-06,none
Beth Donovan Hospice,415041,2.00E-06,none
Centr'Elles Centre Des Femmes Francophones Du Nord-Ouest De L'Ontario,414880,2.00E-06,none
Thoughtstorm Incorporated,413949,2.00E-06,none
Service Corporation International Canada Ltd,413631,2.00E-06,none
Alternatives For Women In Prince Edward County,413545,2.00E-06,none
Association Of Ontario Snowboarders,413395,2.00E-06,none
Aurora-Oak Ridges-Richmond Hill,412444,1.99E-06,none
"Ontario Corporation # 002519223, Fc-Hearing Corporation",411950,1.99E-06,none
Young'S Pharmacy Limited,411666,1.99E-06,none
Allsteel Fabrication Inc,411422,1.99E-06,none
Township Of Limerick,411025,1.99E-06,none
2236183 Ontario Inc.,410770,1.98E-06,none
Victim Services Of Sarnia-Lambton Incorporated,410709,1.98E-06,none
Niagara Chapter - Native Women Inc,410151,1.98E-06,none
Ibew 402 Training And Education Centre,410114,1.98E-06,none
Akausivik Inuit Family Health Team,410000,1.98E-06,none
Spontaneous Paid Opportunities Today Inc.,408991,1.98E-06,none
Mississauga-Malton,408919,1.98E-06,none
Counterpoint Counselling And Educational Co-Operative Inc.,408701,1.97E-06,none
Dr Brent M Macmillan Medicine Professional Corporation,408600,1.97E-06,none
Cherrywood Interiors Inc. ,408519,1.97E-06,none
"Tri-Town Furniture Warehouse Ltd., Ontario Corporation No. 002581249",407982,1.97E-06,none
Thunder Bay Multicultural Association,407929,1.97E-06,none
1796392 Ontario Inc,407618,1.97E-06,none
Beanfield Technologies Inc,407452,1.97E-06,none
Evelyn Brett (O/A High Park Physiotherapy Centre),407152,1.97E-06,none
Fcj Refugee Centre,407078,1.97E-06,none
"Ontario Corporation # 703000, Advanced Hearing Ontario Inc.",406500,1.96E-06,none
Scarborough-Agincourt,406498,1.96E-06,none
St Andrew'S Residence Chatham Inc,406449,1.96E-06,none
Kenamatewin Native Learning Centre (Knlc),406385,1.96E-06,none
Victim Services Of Brant,406262,1.96E-06,none
Township Of Horton,406256,1.96E-06,none
Goldhawk Veterinary Medicine Professional Corporation,406146,1.96E-06,none
Legislative Assembly Of Ontario,405555,1.96E-06,none
8279713 Canada Inc (O/A Wilson Farms 1980 Grain Storage And Elevation),405549,1.96E-06,none
Ocas Application Services Inc,404722,1.96E-06,none
Air Creebec Inc.,404711,1.95E-06,none
R. F. Contracting Inc,404232,1.95E-06,none
Local 95 Building Corporation,404000,1.95E-06,none
Canada Hearing Centre Ltd.,404000,1.95E-06,none
Northeastern Recovery Centre,403654,1.95E-06,none
Avery Construction Ltd,403610,1.95E-06,none
2018327 Ontario Inc.,403593,1.95E-06,none
Greater Sudbury Public Library,403238,1.95E-06,none
Lanark County Housing Corporation,403031,1.95E-06,none
Scarborough-Guildwood,402597,1.94E-06,none
East Wellington Community Services Inc,402474,1.94E-06,none
East Scarborough Boys & Girls Club (O/A Boys & Girls Club Of East Scarborough),402035,1.94E-06,none
Access 2 Networks Inc ,401748,1.94E-06,none
Marberg Staffing,401602,1.94E-06,none
Cataraqui Region Conservation Authority,401402,1.94E-06,none
Rimrock Corporation,401150,1.94E-06,none
Hamster,400888,1.94E-06,none
Town Of Penetanguishene,400585,1.94E-06,none
Lebeau Transcription Services,400284,1.93E-06,none
1832254 Ontario Inc.,400000,1.93E-06,none
Mcnally House Hospice,400000,1.93E-06,none
Sodecia Automotive London Inc,400000,1.93E-06,none
Sodales Solutions Inc,399794,1.93E-06,none
Kawartha Sexual Assault Centre,399590,1.93E-06,none
Kathryn Junger,399410,1.93E-06,none
"  3 Member At 133,135.08",399405,1.93E-06,none
Dixie Bloor Neighbourhood Drop-In Centre,398993,1.93E-06,none
Albany Medical Clinic,398301,1.92E-06,none
Simcoe Linen And Laundry Systems,397093,1.92E-06,none
Trillium Network For Advanced Manufacturing,396469,1.92E-06,none
Project Read Literacy Network (Waterloo-Wellington),396430,1.91E-06,none
Davis Pierrynowski Limited,396352,1.91E-06,none
Canadian Association Of Wound Care,396100,1.91E-06,none
R & R Group Holdings Limited,396089,1.91E-06,none
Durham Mediation Centre Inc.,395667,1.91E-06,none
Unilogic Solutions Inc.,395500,1.91E-06,none
Hydro One Remote Communities Inc,395435,1.91E-06,none
"Canadian Aquaculture Systems, Inc.",394858,1.91E-06,none
Eglinton-Bayview And Joints In Motion Inc,394695,1.91E-06,none
B Shahi Medicine Professional Corporation,394287,1.90E-06,none
Township Of Tarbutt & Tarbutt Additional,394126,1.90E-06,none
The Corporation Of The Township Of Pickle Lake,394035,1.90E-06,none
Synergy North Corp,393672,1.90E-06,none
Centre For Resilience And Social Development (Crsd) (O/A Canadian Friends Of Somalia),393493,1.90E-06,none
2387659 Ontario Inc,393384,1.90E-06,none
All Languages Ltd.,393194,1.90E-06,none
Treaty Three Police Services Inc. ,393031,1.90E-06,none
Matson Driscoll & Damico Ltd,392376,1.90E-06,none
Hoskin Scientific Ltd.,391706,1.89E-06,none
Sexual Assault Centre Kingston Inc,391668,1.89E-06,none
Groupe Impact On,391478,1.89E-06,none
Margaret's Housing And Community Services Inc (O/A Margaret Fraser House),391430,1.89E-06,none
Bruce G Jones Forest Products Ltd.,390752,1.89E-06,none
Elgin Audiology Consultants,390650,1.89E-06,none
Second Chance Employment Counselling (Wellington) Inc,390642,1.89E-06,none
Sexual Assault Centre Of Brant,390586,1.89E-06,none
West Scarborough Neighbourhood Community Centre,390077,1.88E-06,none
Nec Software Solutions Uk Limited,390000,1.88E-06,none
Canada'S Walk Of Fame,390000,1.88E-06,none
Brampton South,389562,1.88E-06,none
Valangel Licensing Ii Inc,389237,1.88E-06,none
Ontario Commercial Fisheries' Association,389161,1.88E-06,none
Canadian Physiotherapy Centre,388795,1.88E-06,none
Starlim North America Corporation,388606,1.88E-06,none
Deborah L. Stewart,387921,1.87E-06,none
Literacy Group Of Waterloo Region,387337,1.87E-06,none
1178412 Ontario Inc.,387324,1.87E-06,none
Trinity Square Cafe,387073,1.87E-06,none
Ka Imaging Inc,386880,1.87E-06,none
2 Bloor Inc. C/O Triovest Realty Advisors Inc.,386869,1.87E-06,none
"Ontario Corporation # 1129319, Breathe Easy Respiratory Home Care Inc.",386475,1.87E-06,none
"Ontario Corporation # 1090358, Ontario Hearing Consultants Ltd.",386000,1.86E-06,none
Centre For Surgical Invention And Innovation,385863,1.86E-06,none
Peterborough Housing Corporation,385211,1.86E-06,none
Wilder Mobility Limited,385094,1.86E-06,none
Hospice Wellington,385028,1.86E-06,none
"Developing Young Leaders Of Tomorrow, Today (Dylott)",385000,1.86E-06,none
Special Olympics Ontario Inc (O/A Ontario Special Olympics Inc),385000,1.86E-06,none
Magnetawan First Nation,384909,1.86E-06,none
Freshline Distribution,384634,1.86E-06,none
"Hitachi High-Tech America, Inc. ",384614,1.86E-06,none
Blaney Mcmurtry Llp,384417,1.86E-06,none
2563702 Ontario Inc.,383906,1.85E-06,none
Scott Childs Barrister & Solicitor,383692,1.85E-06,none
Ontario Soccer Association,382972,1.85E-06,none
Forests Ontario,382827,1.85E-06,none
Laubach Literacy Ontario,382750,1.85E-06,none
Parents Of Black Children Canada,382100,1.85E-06,none
Aurigo Software Technologies Corporation,382093,1.85E-06,none
The Karma Project Community Food Co-Operative Inc (O/A The Farmacy),382037,1.85E-06,none
1639016 Ontario Inc.,382000,1.85E-06,none
Peel Regional Housing Corp,381713,1.84E-06,none
2 Bloor Inc.,381668,1.84E-06,none
Brampton North,381550,1.84E-06,none
Sioux Lookout Friendship Accord,381303,1.84E-06,none
De Havilland Aviation Training Ltd. ,381140,1.84E-06,none
Moose Factory Local Services Board,381102,1.84E-06,none
Centre Youville Centre Ottawa-Carleton Inc,380797,1.84E-06,none
London Community Small Business Centre Inc,380755,1.84E-06,none
Healistics Advanced Practice Inc (O/A Uptown Physiotherapy Clinic),380271,1.84E-06,none
Yves Roy (O/A Yveroy Enterprises),380138,1.84E-06,none
Don Valley East,379726,1.83E-06,none
Rayman Harris Llp ,379666,1.83E-06,none
Ccl Label,379590,1.83E-06,none
Alexandra Park Neighbourhood Learning Centre,378533,1.83E-06,none
K9 Storm Inc,378382,1.83E-06,none
Softech Alliance Network (O/A Wetech Alliance),378000,1.83E-06,none
Interactive Niagara Media Cluster (O/A Ngen),378000,1.83E-06,none
Voice Found,377941,1.83E-06,none
Sigouin Grading Inc (O/A Sigouin Grading Inc),377905,1.83E-06,none
Township Of Melancthon,377361,1.82E-06,none
Ontario Association Of Veterinary Technicians (Oavt),376200,1.82E-06,none
Literacy North Halton,376179,1.82E-06,none
Northland Prosthetics & Orthotics Inc.,375834,1.82E-06,none
2209273 Ontario Limited,375418,1.81E-06,none
The Cedarbrook Society,375236,1.81E-06,none
North Bay Mattawa Conservation Authority,375066,1.81E-06,none
Teksystems Canada Corp,375019,1.81E-06,none
Royal Agricultural Winter Fair Association Of Canada O/A Royal Agricultural Winter Fair,375000,1.81E-06,none
Ontario Aboriginal Head Start Association,375000,1.81E-06,none
Ghd Contractors Ltd,374993,1.81E-06,none
Young Women'S Christian Association Of St Thomas (O/A Ywca Of St Thomas-Elgin),374854,1.81E-06,none
Waste Connections Of Canada Inc (O/A Progressive Waste Solutions),374732,1.81E-06,none
Linkedin Ireland Unlimited Company,374615,1.81E-06,none
Point-Par-Point Inc,374051,1.81E-06,none
North Shore Community Support Services Inc,374033,1.81E-06,none
Ontario Professional Fire Fighters Assoc,373710,1.81E-06,none
W O Stinson & Son Ltd,373574,1.80E-06,none
Ywca Of St Catharines,373144,1.80E-06,none
Joint Rehab,373059,1.80E-06,none
Supremex Inc,372939,1.80E-06,none
Agilent Technologies Canada Inc,372749,1.80E-06,none
Pacific Safety Products Inc,372733,1.80E-06,none
Oshawa Puc Services Inc,372579,1.80E-06,none
Brantford & District Supervised Access Centre,372500,1.80E-06,none
Coulter'S Pharmacy (London) Ltd.,372398,1.80E-06,none
Np Aerospace (Canada) Ltd,371951,1.80E-06,none
Sault Ste Marie Public Library,371885,1.80E-06,none
Association Of Family Health Teams Of Ontario (Afhto),371856,1.80E-06,none
Adiele Medicine Professional Corp.,371743,1.80E-06,none
Dr Graham D Glancy Medicine Professional Corporation,371703,1.80E-06,none
Equipment World,371605,1.80E-06,none
Strider Resource (Div Of O'Rourke Marketing Corp Ltd),371205,1.79E-06,none
Mood Disorders Association Of Ontario And Toronto,371117,1.79E-06,none
Pitney Bowes Of Canada Ltd.,371086,1.79E-06,none
Homes First Society,370920,1.79E-06,none
Thunder Bay-Atikokan,370809,1.79E-06,none
Tony Deodato & Sons Ltd,369636,1.79E-06,none
Greenstone Victim Services,369552,1.79E-06,none
Qiagen Inc,368599,1.78E-06,none
White Owl Native Ancestry Assoc,368428,1.78E-06,none
Ungalli Clothing Co Inc,368399,1.78E-06,none
Dale Brooks & Sunns Construction,368332,1.78E-06,none
Freedom From Addiction Inc,368187,1.78E-06,none
Invest Windsoressex,368150,1.78E-06,none
Heli-Lynx Helicopters,368049,1.78E-06,none
Relias Llc,367514,1.78E-06,none
Goldgrab Leadership Coaching Inc,367503,1.78E-06,none
Wil Counselling And Training For Employment,367340,1.77E-06,none
1745968 Ontario Limited,367323,1.77E-06,none
The Corporation Of The Township Of Chapple,367000,1.77E-06,none
"Ontario Corporation # 002411440, Cpap Central Inc.",366970,1.77E-06,none
"Ontario Corp. #1817112, House Of Hearing Clinic Inc.",366950,1.77E-06,none
Davidson Hearing Aid Centre Ltd,366513,1.77E-06,none
Manotsaywin Nanotoojig Inc,366018,1.77E-06,none
True North Helicorp Inc.,365747,1.77E-06,none
Privacyworks Inc,365536,1.77E-06,none
Source Momentum Healthcare Solutions Corp,365337,1.76E-06,none
Dryden Fibre Canada Ulc,365323,1.76E-06,none
1698363 Ontario Inc.,365000,1.76E-06,none
Home Depot Of Canada Inc,364605,1.76E-06,none
D & R Electronics Co Ltd,364595,1.76E-06,none
Ochiichagwe'Babigo'Ining First Nation,364400,1.76E-06,none
Scarborough North,364355,1.76E-06,none
2459369 Ontario Incorporated,364053,1.76E-06,none
Ontario Volleyball Association,364028,1.76E-06,none
Child Care Providers Resource Network (Ccprn),363981,1.76E-06,none
District Of Parry Sound Victim Crisis Assistance And Referral Service,363611,1.76E-06,none
1301340 Ontario Inc.,363528,1.76E-06,none
Avli Group Ltd,363352,1.76E-06,none
Town Of Newmarket,363283,1.75E-06,none
Carrefour Des Femmes Du Sud-Ouest De L'Ontario,362490,1.75E-06,none
Jeffry Mcmaster Medicine Professional Corporation,362306,1.75E-06,none
Outsource It Computing Inc.,362177,1.75E-06,none
Applied Biomechanics Custom Orthotic Services Inc.,362107,1.75E-06,none
Audia Hearing Aid Centre Inc.,362000,1.75E-06,none
Association Of Conservation Authorities Of Ontario (O/A Conservation Ontario),361985,1.75E-06,none
Acoustic Care Ltd.,361500,1.75E-06,none
Four Point Solution Ltd,361431,1.75E-06,none
Michael Kushnir (O/A Kw Mediation),361080,1.74E-06,none
Ottawa Gay Men'S Wellness Initiative,361000,1.74E-06,none
Queensway Physiotherapy Centre,360930,1.74E-06,none
Ukrainian Seniors' Centre Of Sudbury Inc,360833,1.74E-06,none
Brinks Canada Ltd,360821,1.74E-06,none
Chatham-Kent Sexual Assault Crisis Centre,360713,1.74E-06,none
"Northern Respiratory Sudbury Inc., Ontario Corporation No.002835836",360700,1.74E-06,none
Smith Prosthetic Services Ltd.,360636,1.74E-06,none
"Gray, Davis, Anderson, Rudy Medicine Professional Corporation",360599,1.74E-06,none
Scientists In School,360000,1.74E-06,none
Ipsos Lp,359996,1.74E-06,none
Maawandoon Inc.,359877,1.74E-06,none
Township Of Jocelyn,359825,1.74E-06,none
Solutions Sixense Canada Ltee/Sixense Solutions Canada Ltd,359571,1.74E-06,none
Grey Sauble Conservation Authority,359226,1.74E-06,none
Spark Commercialization And Innovation Centre,359100,1.73E-06,none
Association Des Conseils Scolaires Des Ecoles Publiques De L'Ontario,359055,1.73E-06,none
Brampton Public Library,358829,1.73E-06,none
Centre Novas - Calacs Francophone De Prescott-Russell,358786,1.73E-06,none
Morin Construction Ltd.,358753,1.73E-06,none
0865894 B.C. Ltd. (O/A Agritech North),358751,1.73E-06,none
South West Centre For Community Programme Development,358710,1.73E-06,none
Ongwanada Non-Profit Housing Corp,358545,1.73E-06,none
Sani-Gear Inc,358491,1.73E-06,none
Stracor Inc.,358400,1.73E-06,none
Brampton Meals On Wheels,358375,1.73E-06,none
1218776 Ontario Limited.,357995,1.73E-06,none
Timmins And District Victim Services,357695,1.73E-06,none
"Ontario Corporation # 2275211, Absolute Respiratory Services Inc.",357656,1.73E-06,none
"Ontario Corporation # 1926771, Hear Canada Inc.",357300,1.73E-06,none
Sault Ste. Marie,357224,1.73E-06,none
Municipality Of The Township Of Chamberlain,357149,1.73E-06,none
Focus Community Development Corp,357119,1.73E-06,none
7007361 Canada Inc (O/A Gab Electric),357021,1.72E-06,none
"Ontario Corporation # 003204634, Teskie International Corp.",356966,1.72E-06,none
Nicole Cooks (O/A N.Cooks Business Services),356962,1.72E-06,none
Blockie Group Inc.,356933,1.72E-06,none
2061698 Ontario Inc.,356871,1.72E-06,none
Delta Consulting Group Canada Ltd.,356646,1.72E-06,none
Innovative Traffic Solutions Inc,356539,1.72E-06,none
"Ontario Corporation # 002335454, Westin Health Care Inc.",356354,1.72E-06,none
Hiv & Aids Legal Clinic (Ontario),356072,1.72E-06,none
Township Of Ryerson,355650,1.72E-06,none
Lower Thames Valley Conservation Authority,355604,1.72E-06,none
Teknion Ltd,354719,1.71E-06,none
York Physiotherapy And Rehabilitation Centre,354701,1.71E-06,none
The Ontario Legislative Internship Programme,354000,1.71E-06,none
786224 Ontario Inc (O/A Possamai Construction),353902,1.71E-06,none
Boys & Girls Club Of Cornwall/Sdg,353855,1.71E-06,none
Northern Community Development Services,353817,1.71E-06,none
Morin Construction Ltd,353711,1.71E-06,none
Amelia Rising Sexual Assault Centre Of Nipissing,353660,1.71E-06,none
Kawartha/Haliburton Victim Services,353637,1.71E-06,none
Custom Orthotic Design Group Ltd.,352552,1.70E-06,none
Hazel Burns Hospice,352474,1.70E-06,none
Renfrew County Housing Corporation,352437,1.70E-06,none
Staples Canada Ulc (O/A Staples Canada),352410,1.70E-06,none
Georgian Bay Native Women'S Association,352166,1.70E-06,none
Ontario Council Of The Order Of St Johns Ambulance,352036,1.70E-06,none
Community Legal Education Ontario (Cleo),352000,1.70E-06,none
"Northern Ontario Audiology Services Limited, 624119 Ontario Limited",351567,1.70E-06,none
Ledstar Inc,350629,1.69E-06,none
Toronto Community Employment Services,350323,1.69E-06,none
Township Of Laird,350275,1.69E-06,none
Independent First Nation Alliance,350000,1.69E-06,none
Toronto Convention & Visitors Association,350000,1.69E-06,none
Dsr Harcourts,349870,1.69E-06,none
United Electric,349774,1.69E-06,none
Sexual Assault Support Services For Women Stormont Dundas Glengarry & Akwesasne Inc,349297,1.69E-06,none
Alternative Learning Styles And Outlooks Ottawa Incorporated,349098,1.69E-06,none
Canada Corporation # 1070883-6 National Hearing Services Inc.,348950,1.69E-06,none
2426950 Ontario Limited,348831,1.69E-06,none
Co-Operative Housing Federation Of Canada,348740,1.68E-06,none
Local Services Board Of Upsala,348734,1.68E-06,none
Mobia Technology Innovations Inc,348671,1.68E-06,none
Best Buy Canada Ltd,348427,1.68E-06,none
Global Knowledge Network (Canada) Inc,348190,1.68E-06,none
Corporation Of The Township Of Hilliard,348100,1.68E-06,none
Association Des Gestionnaires De L'Education Franco-Ontarienne (Agefo),348000,1.68E-06,none
Dalhousie Youth Support Services,347606,1.68E-06,none
Economic Modeling Llc (O/A Emsi),346399,1.67E-06,none
Enova Power Corp,346268,1.67E-06,none
Parkdale Project Read,345898,1.67E-06,none
Thornhill Employment Hub Inc,345884,1.67E-06,none
Township Of Madoc,345666,1.67E-06,none
The Typist Inc.,345641,1.67E-06,none
Millbrook Tactical Inc,345053,1.67E-06,none
North Bay Indigenous Friendship Centre,344847,1.67E-06,none
1490668 Ontario Inc (O/A Tower Construction),344643,1.66E-06,none
Buffalo Computer Graphics Inc,344554,1.66E-06,none
Blackline Safety Corporation,344360,1.66E-06,none
Canadian Career Academy Of Business And Technology Inc,344126,1.66E-06,none
Town Of Bruce Mines,344125,1.66E-06,none
Princess Margaret Hospital,343398,1.66E-06,none
Holiday Inn,342365,1.65E-06,none
Hall & Associates Ocularists,342353,1.65E-06,none
Rtg Protech Inc,341585,1.65E-06,none
Victim Services Of Nipissing District,341471,1.65E-06,none
Township Of Amaranth,341327,1.65E-06,none
Partners In Employment (Perth County),341077,1.65E-06,none
Ocasi-Ontario Council Of Agencies Serving Immigrants,340932,1.65E-06,none
Working Women Community Centre,340890,1.65E-06,none
Expo Stand Services Sp. Z O.O,340423,1.64E-06,none
Paladin Technologies Inc,340335,1.64E-06,none
Evans Caseload Inc.,339627,1.64E-06,none
Elizabeth Fry Society Toronto Branch,339547,1.64E-06,none
White Ribbon,339500,1.64E-06,none
Amanjot Singh Sandhu Medicine Professional Corp.,339115,1.64E-06,none
Centre York Centre Supervised Access Centre,339094,1.64E-06,none
Rose Garden Family Support Centre,339094,1.64E-06,none
Campaign Support Ltd ,339000,1.64E-06,none
North Simcoe Victim Crisis Services,338995,1.64E-06,none
Centre Culturel La Ronde Inc,338904,1.64E-06,none
Bay Roofing And Exteriors Ltd,338804,1.64E-06,none
Llf Lawyers Llp,338582,1.64E-06,none
Bmo Mastercard,338124,1.63E-06,none
La Cle D'La Baie En Huronie- Assoc Culturelle Francophone,338110,1.63E-06,none
Titan Contractors (Kenora) Ltd.,337929,1.63E-06,none
Data Communications Management Formerly Moore Canada Corporation,337563,1.63E-06,none
Lac Des Mille Lacs First Nation,336813,1.63E-06,none
Government Of Manitoba,336740,1.63E-06,none
Terrazzo Tile & Marble Trade School Inc,336271,1.62E-06,none
Timea Fortuna,336200,1.62E-06,none
Lecours Lumber Co. Ltd.,335769,1.62E-06,none
Meunier Carrier Lawyers,335750,1.62E-06,none
Kontzamanis Graumann Smith Macmillan Inc. (O/A Kgs Group),335594,1.62E-06,none
Township Of Burpee & Mills,335375,1.62E-06,none
"Ontario Corporation # 002062241, Durham Home Respiratory Services Inc.",335151,1.62E-06,none
Armstrong Local Services Board,334918,1.62E-06,none
"Facet Business Communications, Inc",334903,1.62E-06,none
Athletics Ontario,334613,1.62E-06,none
Anders Physiotherapy,334376,1.62E-06,none
Lee-Anna Hamilton,334309,1.61E-06,none
Centre Des Services Communautaires De Vanier/Vanier Community Service Centre,334254,1.61E-06,none
Holiday United Group,334120,1.61E-06,none
Dr James Patrick Villamere,334094,1.61E-06,none
Ontario Home Builders Association,334009,1.61E-06,none
Chaco Enterprises (O/A 2331398 Ontario Inc),333575,1.61E-06,none
E Hofmann Plastics Canada Inc,333333,1.61E-06,none
Y2 Consulting Psychologists Inc,333110,1.61E-06,none
Toronto Steelworkers Job Action Centre,333060,1.61E-06,none
Victim Services Of Temiskaming & District,333000,1.61E-06,none
Victim Services Wellington,332874,1.61E-06,none
Sharp Bus Lines Ltd,332804,1.61E-06,none
Carly Rian Group,332729,1.61E-06,none
Co-Ot Taxi (1999) Ltd.,332419,1.61E-06,none
1881440 Ontario Ltd.,332347,1.61E-06,none
Ontario Association Of Agricultural Societies,332055,1.60E-06,none
Mindwire Systems Ltd,331881,1.60E-06,none
Muskoka Victim Services,331821,1.60E-06,none
Transferease Relocation Inc.,331704,1.60E-06,none
1000120093 Ontario Ltd.,331310,1.60E-06,none
Smile Cdr Inc,331203,1.60E-06,none
Brad Knox Excavating,331093,1.60E-06,none
Railway City Hospitality Inc.,330621,1.60E-06,none
Dw Building Restoration Services Inc,330282,1.60E-06,none
North Bay Literacy Council Inc,329964,1.59E-06,none
John Howard Society Of Peel-Halton-Dufferin,329960,1.59E-06,none
Olde Forge Community Resource Centre,329663,1.59E-06,none
Volunteer Centre Of Toronto,329517,1.59E-06,none
"Nurses Specialized In Wound, Ostomy, And Continence Canada (Nswocc) ",329400,1.59E-06,none
Octavia Cumberbatch,328857,1.59E-06,none
East York Meals On Wheels Inc,328717,1.59E-06,none
Sap Canada Inc,328673,1.59E-06,none
Sra Staffing Solutions Ltd,327700,1.58E-06,none
Services Aux Victimes Prescott-Russell Victim Services,327589,1.58E-06,none
Tri-County Literacy Council,327300,1.58E-06,none
Victim Services - Lanark County,327111,1.58E-06,none
"Capitol Counsel, Llc",327000,1.58E-06,none
Sandwich Teen Action Group,326910,1.58E-06,none
Renfrew & Area Seniors Home Support,326886,1.58E-06,none
Royal Bank Of Canada,326880,1.58E-06,none
Cwb Welding Foundation,326280,1.58E-06,none
Scadding Court Community Centre,326103,1.58E-06,none
Sterling Ridge Infrastructure Inc,325824,1.57E-06,none
Labourers International Union Of North America (Liuna) Local 837,325763,1.57E-06,none
Pepco Corp.,325674,1.57E-06,none
Peter Kiewit Sons Ulc,325592,1.57E-06,none
Olade Consulting Inc,325508,1.57E-06,none
Toronto Workforce Innovation Group,325298,1.57E-06,none
2148843 Ontario Limited,325177,1.57E-06,none
Ocean'S Design,325145,1.57E-06,none
Ontario Association Of Crime Stoppers,325000,1.57E-06,none
Thessalon First Nation,324913,1.57E-06,none
In Tpa North America,324826,1.57E-06,none
Township Of Prince,324692,1.57E-06,none
Northern Linkage Community Housing & Support Service,324607,1.57E-06,none
Fyi Eye Care Services And Products Inc (O/A Fyi Doctors),324355,1.57E-06,none
New Blue Party Of Ontario................................................................ ,324261,1.57E-06,none
The Corporation Of The Township Of James.,324078,1.57E-06,none
Cpcs Transcom Ltd,324009,1.57E-06,none
Ontario Brain Injury Association,323961,1.56E-06,none
Ontario Tender Fruit Growers,323861,1.56E-06,none
Avery Andress (O/A Audav),323746,1.56E-06,none
Canadian Council Of Motor Transport Administrators,323651,1.56E-06,none
Cunningham Medicine Professional Corporation,323450,1.56E-06,none
Conference Board Of Canada,323448,1.56E-06,none
Standing Committee On Finance & Economic Affairs,323436,1.56E-06,none
Sanihealth Labs Inc.,323181,1.56E-06,none
